Caption,Rank
The best way to get over a wall is to break through the glass ceiling.,1.0
"Voter fraud is a total myth, but there is evidence that people voted for a total fraud.",1.0
This just in: alternative facts are not facts. They’re lies. I’m a delinquent ten-year-old and even I know that.,1.0
"As my buddy Vladimir says, you can’t spell ‘Commander-in-Chief’ without ‘comrade.’ ",1.0
"I’m terrific at estimating crowd size. It looks like a dozen, maybe two dozen women at most.",1.0
My father would be proud. He taught me everything I know about unjustly denying housing to black people.,1.0
"Oh, so this is what a Bible looks like.",1.0
Hold on—that’s a trash fire. Over there is Trump’s Inauguration speech.,1.0
We mapped out the Trump motorcade route to the White House.,1.0
The arc of the moral universe is long.,1.0
I don’t know where he got the idea that screaming ‘fake news’ over and over would get him out of doing his homework.,1.0
"Darling, why don’t you have a look at my Inauguration outfit?",1.0
"Now, Marcus, I want you to stop concentrating on Noah’s actions, and focus on what’s in his heart.",1.0
Carl’s been selling our perspective to folks hoping to study up for next time.,1.0
"And furthermore, it prevents all that P-word-grabbing you ladies were so worked up over.",1.0
It says our health insurance is being replaced by a series of tweets calling us losers.,1.0
"So the rule is, you have to drink every time Sheila brags about doing Dry January.",1.0
"I’m sorry, Mariah, but all I can get you booked on now is the Inauguration.",1.0
"I’d give it a few minutes, kid.",1.0
"Uh, Rudolph, I don’t know if the boss is gonna like you going all political on his big day.",1.0
"If there is a war on Christmas, I think we’re well behind the front lines.",1.0
"Those are for Santa, and these are for the Amazon drone.",1.0
Think of it as a windowbuster sale.,1.0
Maybe cool it on the beloved celebrities for a bit.,1.0
"I don’t want to alarm you, but I’m pretty sure I heard the Elf on the Shelf speaking Russian.",1.0
"Actually, human resources says, this year it has to mean we shake hands.",1.0
We’ve been replaced as security detail.,1.0
"If they were mad about the ‘Apprentice’ thing, wait ’til they find out how much I’m gonna make televising the trials of my enemies.",1.0
You know how last year you said that you didn’t think SantaCon could possibly get any worse?,1.0
Confirmation bias is a hell of a drug.,1.0
"For crying out loud, another turd?",1.0
Go solar.,1.0
"Oh, look—he must be from one of those fake-news outlets.",1.0
"When he said he’d bring back coal, I didn’t think he meant as seasonal work.",1.0
"Between you and me, I think he’s veered into the Alt-Dark Side.",1.0
What I want this year is to wake up and discover that it’s all been a bad dream!,1.0
Maybe it isn’t going to be so bad.,1.0
What conflict of interest?,1.0
Remember when rationality was a thing?,1.0
"I know you really like ‘Ivan the Terrible,’ Sire, but for the sake of appearances, what about ‘Ivan the Alt-Right’?",1.0
"Mom, Billy’s acting Presidential again.",1.0
Recounting.,1.0
The story is all over the Internet—I saved two little kids from drowning an hour ago. It’s the latest thing: D.I.Y. news.,1.0
"If the recount doesn’t work, it’s up to us.",1.0
"Welcome to the team, guys. It’s a big henhouse, and I can’t guard it by myself.",1.0
Let us look back on the year that has passed and give thanks.,1.0
Finish up so we can eat the damn meal.,1.0
Let us look back on the year that has passed and give thanks.,1.0
#NotMyHoliday,1.0
"Stop me if you’ve heard this one: a white nationalist, a demagogue, and his son-in-law walk into the White House . . .",1.0
I’ll have my people sniff your people.,1.0
"The fact is, we are totally opposed to globalization.",1.0
"Washington, D.C.",1.0
"Hey, look, Burr—you finally figured out how to take down a political rival without shooting him.",1.0
"Well, at least we won the Internet.",1.0
"Excellent work on the election, boys. Here are our picks for the Super Bowl and the Academy Awards.",1.0
Fear and loathing about the future have shaken me to the very core of my being. What’s good for that?,1.0
Turns out you can normalize anything these days.,1.0
All this ‘love trumps hate’ stuff got me thinking . . .,1.0
"O.K., you get Transportation and you get Secretary of State.",1.0
Zoinks! It’s a g-g-g-good example of Steve Bannon’s core demographic!,1.0
We need the Electoral College to prevent the person who wins the election from always winning the election.,1.0
He thought he wasn’t going to need them.,1.0
"To be honest, I’m less troubled by the alien invaders than I am by the leader we’re taking them to.",1.0
That’s one pundit who didn’t get it wrong.,1.0
"So, are we forming a rebel alliance or what?",1.0
"On the plus side, we won’t have access to the news for the next four years.",1.0
"My advice? Skip denial, anger, bargaining, depression, and acceptance, and go straight to Michelle in 2020.",1.0
Take a deep breath and don’t exhale for four years.,1.0
OMFG!,1.0
He offered to help me get through tonight.,1.0
The system has crashed—even the atheists are praying!,1.0
"Pull the blue lever, it all goes back to the way it was.",1.0
Bad cop?,1.0
I’m not giving Trump the dignity of high definition.,1.0
Vote!,1.0
Donald Trump evaluates his race results.,1.0
Is that a good thing or a bad thing?,1.0
Discussing the election at work.,1.0
"In the event that you stop breathing or your heart stops beating and Donald Trump is President, would you want us to resuscitate you?",1.0
Too long? I was hoping it would never end—that’s the longest I’ve gone in months without thinking about the election.,1.0
"Nobody cares anymore about the tax returns, or the stuff about grabbing women, or his saying he might not accept the election results—that’s all ancient history, from way, way back in October.",1.0
A Chicago Cubs fan keeps up hope for the World Series.,1.0
"As long as Hillary has a scandal, his campaign’s still alive; the e-mails are his Horcrux.",1.0
"A penny for your thoughts, sweetheart?",1.0
The Daily Cartoon gets a visit from a trick-or-treater.,1.0
I’m all in for Trump—he’s a person of color.,1.0
"I was almost David Pumpkins, too, but I thought Sexy Ken Bone would be more timeless.",1.0
"Good news—I don’t see any more October surprises. That being said, tomorrow we’re into November.",1.0
We at the F.B.I. would like to reiterate that this move was in no way political.,1.0
F.B.I. reopens Clinton e-mail probe.,1.0
"Next up, let’s watch seven lovable rapscallions carry out an armed takeover of government property and face absolutely no consequences whatsoever.",1.0
"It’s looking good, but let’s not get cocky, ma’am.",1.0
That looks good on you.,1.0
"I keep getting a recorded message that says, ‘You just kinda wasted my precious time, but don’t think twice it’s all right.’ ",1.0
"So you’re a little bit ahead, big whoop.",1.0
"Keep him out of the light, don’t give him any water, and no matter how much he cries, no matter how much he begs, never let him tap into the insecurities of white, working-class voters.",1.0
"We hear you loud and clear, sir—you want to sue every person in the United States who doesn’t vote for you.",1.0
"In the current climate, they feel they have to present both sides of every issue.",1.0
Check under the bed for Bartmans.,1.0
That explains so much.,1.0
I had a dream that this election never ends and I never have to go back to worrying about my own problems.,1.0
Proof! Massive voter fraud involving the undead!,1.0
"Still in suspense, America? Tonight at ten, watch, ‘Will He or Won’t He?’ and see Donald Trump make his decision—live! Only on Trump TV!",1.0
It’s a knockout.,1.0
Finish him.,1.0
I blame the media.,1.0
"On the other hand, we’ve never met a white, non-college-educated, working-class male from a swing state.",1.0
The craziest part is that it happened like five minutes after he took office.,1.0
"On the bright side, Alec Baldwin is living proof that you’re a job creator.",1.0
The next three weeks.,1.0
How can you possibly be confused? Didn’t you see The Speech?,1.0
"So the moral is, slow and steady and not being a misogynistic, fearmongering monster wins the race.",1.0
The Nobel goes electric.,1.0
"Somewhere in the Midwest, 1961.",1.0
Profiles In Hedging Your Bets.,1.0
Trump inspired him to channel his anger through Twitter.,1.0
"You ever wonder if Trump is karmic retribution for all those ironic ‘Thanks, Obama’ jokes?",1.0
"One day we’ll look back on all this and say, ‘WTF?’ ",1.0
We’re not fighting! We’re debating!,1.0
Enough with the lurking already.,1.0
"I hate them both, so I’m voting for the Libertarian guy. He doesn’t care about income inequality, and he doesn’t want government to help people, but other than that I hear he’s exactly like Bernie.",1.0
"I’m just saying, not all eccentric billionaires with self-destructive tendencies and simplistic notions of ‘good guys’ and ‘bad guys’ are the same.",1.0
It’s not a great time to be associated with Presidential politics.,1.0
I’m bored. Hand me an October surprise.,1.0
Post-debate analysis.,1.0
"I was undecided, but now I’m leaning toward Elaine Quijano.",1.0
Who?,1.0
"Dude, being green is like the least of my problems right now.",1.0
They’re giving you a MacArthur for your work on taxes!,1.0
"I’ve looked everywhere under the bed, sweetheart, and I promise, there’s no Rudy Giuliani.",1.0
"So, the idea is that if we declare a big enough loss on tea, we won’t have to pay any taxes at all, right?",1.0
"And here’s President Gary Johnson, who was elected in a landslide after voters realized the comedic value was too good to pass up.",1.0
"In this new stump speech, you seize the moral high ground and refuse to mention Bill’s infidelities forty-seven times.",1.0
"Sorry, but I think it’s going to be a lot more fun to have them blow it again.",1.0
She’s tapped into some strange dimension where the Demogorgon is running for President.,1.0
Undoing the damage from that debate would take way more than three wishes.,1.0
She asked totally unfair questions and someone purposely broke my pencil.,1.0
"Of course, we won’t know for sure who won until the polls come in.",1.0
You could have at least been prepared enough to bring a tissue.,1.0
"Remember, this is just practice. Your real opponent will be much less predictable.",1.0
"Stay calm, take deep breaths, relax.",1.0
"Monday’s debate? We can’t wait, either.",1.0
"We’d have found the security breach earlier, but even we don’t search Yahoo.",1.0
The artist’s dilemma.,1.0
Sorting through the mass e-mail communication from the Democratic Party.,1.0
"My, what a big blind spot for institutionalized racism you have, Grandma.",1.0
She’s totally pissed off at Nate Silver for not saying what she wants to hear.,1.0
First rule of Brad and Angelina’s divorce: post a Jennifer Aniston GIF in response to Brad and Angelina’s divorce.,1.0
Welcome to debate prep. Feel free to offer Mr. Trump your suggestions.,1.0
"O.K., they have original, tropical, and racist metaphor.",1.0
I’m not calling the birther issue dead until I see its death certificate.,1.0
"And now, panel, let’s turn to that giant meteor that’s heading right for us on a path to destroy the planet—whose campaign will it benefit?",1.0
Mr. Trump said on Friday that Hillary Clinton started the birther theory. He also said that she came up with Trump Vodka and founded Trump University.,1.0
"I’m sorry, sir, but Apple Pay does not mean Apple pays.",1.0
"You know, ‘Captain Canada’ has a nice ring to it.",1.0
Clinton/Azithromycin 2016.,1.0
"Remember, General—if you can’t say something nice. . .",1.0
They got rid of the moderators.,1.0
"And in case they ask, here are my medical records and tax returns.",1.0
"Your word is ‘deplorable,’ as in the sentence ‘Enough about the word deplorable already.’ ",1.0
And when you awake you will as usual forget everything that happened prior to the current twenty-four-hour news cycle.,1.0
I’m giving you something for Hillary’s pneumonia.,1.0
"People wanted her to act more like Bernie, but I don’t think they meant the one from ‘Weekend at Bernie’s.’ ",1.0
Scenes from a Trump Presidency.,1.0
The biggest book deal in publishing history!,1.0
Scenes from a Trump Presidency.,1.0
"Now, that’s a Commander-in-Chief! If he can scare the hell out of Matt Lauer, just imagine what he can do to ISIS.",1.0
"If Trump’s scandals are so much worse, how come nobody’s paying attention to them?",1.0
Scenes from a Trump Presidency.,1.0
Scenes from a Trump Presidency.,1.0
Shortstop Buddy Harkin sits down during ‘We Will Rock You.’ ,1.0
Labor Day? Labor Day is the holiday also known as National End of Procrastination Day.,1.0
Donald Trump’s first victory and defeat as President.,1.0
I believe Trump is positing some form of Schrödinger’s election—simultaneously fair and rigged until the results are in.,1.0
Remember Bernie?,1.0
I cannot tell a lie—I did cut it down.,1.0
"On second thought, maybe we should take our chances keeping him on Krypton.",1.0
Stand up or go home! Traumatic brain injuries are for real Americans only!,1.0
Make America Great Again.,1.0
A clarification by Donald Trump of his position on immigration.,1.0
Oompa loompa doopity dankyougene...,1.0
"Give it up—at this point, there are no more Weiner jokes.",1.0
"If it makes you feel any better, they don’t use trigger warnings on the tuition statements, either.",1.0
He’s having an allergic reaction! Does anybody have a checkbook?,1.0
"Can these things bust trolls, too?",1.0
And that’s when they realized the e-mails were coming from servers inside the house.,1.0
"Guys, I need all the help I can get.",1.0
"The polluted water has mutated these turtles! This isn’t part of the ceremony, people!",1.0
We now return to pretending that compelling women athletes don’t exist.,1.0
A correction to an earlier cartoon about the American swimmers.,1.0
Donald Trump introduces the chairman of Breitbart and the rest of his advisers.,1.0
Bye-bye!,1.0
I guess influence is a two-way street.,1.0
A robbery in Rio.,1.0
He says he feels empty inside.,1.0
At least someone’s making America great again.,1.0
"Let me guess, you were bitten by a radioactive demagogue?",1.0
Nobody ever talks about the Third Amendment people.,1.0
"It’s, uh, cupping.",1.0
"Next up, in the mental-gymnastics event, the G.O.P. will try to justify endorsing Trump.",1.0
The best thing about making the Olympics is no election coverage.,1.0
Lighting the Olympic torch in Rio de Janeiro.,1.0
Libertarian.,1.0
"They’re all biased—that’s why I divide my viewing between CNN, Fox News, MSNBC, and ‘The Simpsons.’ ",1.0
When new technology gets old.,1.0
A female President? How about now—is now good for you?,1.0
I think the charisma transplant is working!,1.0
It’s another Pokémon Go player—some of these people have never been outside before.,1.0
"Sure, Hillary, I can keep my speech under an hour.",1.0
And now here’s Paul Simon to sing ‘Fifty Ways to Leave Bernie Sanders.’ ,1.0
We have our winner!,1.0
"In a surprise move, Hillary Clinton today announced that her running mate will be Ivanka Trump.",1.0
Vote your conscience.,1.0
The G.O.P. drops the big one itself.,1.0
Do you feel like these dresses are a form of harassment?,1.0
Donald Trump thanks President Obama.,1.0
"First of all, I’d just like to say I’m a huge admirer of Michelle Obama. Huge.",1.0
Can you get me back down there in time for the Republican National Convention?,1.0
Ruth Bader Ginsburg was just plain wrong trying to influence the Presidential election. That’d be just like if the Senate tried to influence the Supreme Court by refusing to vote on a President’s nominee.,1.0
"Congratulations, Hillary!",1.0
I do plenty—that meme I posted on Facebook will go a long way toward healing the nation.,1.0
America. Look what you did to my hair. I hope you’re proud of yourself.,1.0
What? She’s not coming?,1.0
What’s the matter? Spaceship envy?,1.0
The Daily Cartoon charges up.,1.0
The Daily Cartoon runs to Rio de Janeiro.,1.0
"Hey, if you don’t have any plans for the Fourth of July, you could drop by and hide in the closet with me.",1.0
Sparkler safety on the Fourth of July.,1.0
"Really? I was born in a T.S.A. line, too!",1.0
Don’t believe everything you see on Shark Week—we’re not all bad.,1.0
Which worries you more—a Clinton-Warren ticket or a Trump-Anyone ticket?,1.0
Admit it—it was kind of a bonus to mess with Texas.,1.0
"In an executive action guaranteed to enrage Congress, President Obama today invited Britain to join the Union and become our fifty-first state.",1.0
"The British are leaving, the British are leaving!",1.0
The Republican Party sends Great Britain a croissant.,1.0
Proof Hillary Clinton is Methodist.,1.0
I missed the first day of summer? I guess it’s not worth going outside now.,1.0
Thank you for the moment of outrage. And now back to doing absolutely nothing.,1.0
People pay me to put steps on their Fitbits.,1.0
Can I have a little extra money this year? I want to get you something really nice for Father’s Day.,1.0
I don’t care if Trump offers to walk us down the aisle at our wedding—I’m not voting for him.,1.0
Considering Bill Clinton’s role in a Hillary Clinton Administration.,1.0
Run! They’re talking about gun control!,1.0
Kim Warp’s Daily Cartoon responds to Donald Trump’s tweets.,1.0
"Hillary Clinton has passed the first test, but we’ll see if it’s really possible for an intelligent, well-qualified woman to defeat an angry, xenophobic man.",1.0
Really? My judge was super-nice!,1.0
Hillary Clinton has clinched the Democratic nomination for President.,1.0
Let’s see if we can get a celebrity to come out and tell us whom to vote for.,1.0
-New Butterfly Discovery- Monarch Stingingus-Greaticus,1.0
"And now I want you to send out peaceful, loving thoughts to all sentient beings on the planet who have exactly the same political, economic, and religious beliefs that you do.",1.0
Make America Sweden.,1.0
"Hey, we watched raving liberals last night. Tonight is our night to watch ranting conservatives.",1.0
Aaah! We need to stay in our hole for six more months!,1.0
Donald Trump’s assessment of himself if he were a woman.,1.0
"No, you haven’t died—this is airport security.",1.0
"I know it’s despicable, but it’s a long time till Halloween, and political consulting pays the bills.",1.0
Who are you going to believe? Me or all the women in the village?,1.0
Abort! Abort! We’re being attacked with Frisbees and hacky sacks!,1.0
Donald Trump’s tax return.,1.0
Deal with it.,1.0
I miss Nixon.,1.0
Kim Jong-un at the airport security checkpoint.,1.0
"But if Trump surrounds himself with non-idiots, it won’t matter so much that he is an idiot.",1.0
"But it’s nice to have even teams, for once.",1.0
"It was a nice takeover bid, but we have to get you back to your planets—who knew Hillary was going to play the alien card?",1.0
Canada’s Electoral-College Problem.,1.0
"O.K., I’m ready to start visualizing. Don’t open the tank until Bernie Sanders is the nominee.",1.0
Your very own Political-News Timer.,1.0
Marvel movie subtitles for the rest of us.,1.0
Feed myself? I thought you were going to chew it for me until I graduated from college!,1.0
Admit it—it’s fun to annoy Hillary!,1.0
I don’t know. It’s like it’s too quiet after we sacrifice a politician.,1.0
Uh-oh.,1.0
"In an unprecedented move, the Republican National Committee today asked for a ‘do‑over.’ ",1.0
"In a stunning upset, Leicester City has clinched the Republican nomination for President.",1.0
You seriously expect people to value your opinion in that dress?,1.0
Too much?,1.0
You think Boehner was easy to work with?,1.0
You are getting sleepy. Very sleepy. I will be the Republican nominee for President.,1.0
Post-Primary Blowout Sale!,1.0
Report Card: Hillary is very intelligent but annoys her classmates with her sense of entitlement and incessant bragging about her accomplishments.,1.0
"If Bernie gets free college for everyone, do we get reimbursed?",1.0
"Blood, frogs, lice, pestilence, boils, hail, locusts, darkness, death of the firstborn, and an American-style election campaign.",1.0
"No, Dad, I do not want to hear what you and Mom used to do to ‘Dirty Mind.’ ",1.0
"So, we have to find a way to call her a corrupt tool of Wall Street without sounding negative.",1.0
"In keeping with recent efforts to make the candidate more Presidential, the new Trump team has released these images of proposed changes in hair style.",1.0
Coming soon to a theatre near you: Clinton v Trump.,1.0
"If I vote in this primary, am I still eligible to vote for the Webby Awards?",1.0
"Posting comments is, too, journalism.",1.0
I felt Sanders yelled better on big banks and political corruption but Clinton yelled better on Israel and the minimum wage.,1.0
Also by this author: Profiles in Playing Hard to Get,1.0
"That’s right, sweetheart, let it all out. I don’t understand why they’re being so mean to him, either.",1.0
Wealthy Lives Matter,1.0
Grape jelly on an onion bagel? Where are your New York values?,1.0
"Now that the Pope is kind of, sort of, almost saying it’s O.K., why don’t we get that divorce we’ve always dreamed about?",1.0
"In our top story from the Democratic campaign, Mr. Sanders and Mrs. Clinton questioned each other’s qualifications to be President. In our top story from the Republican campaign, Mr. Sanders and Mrs. Clinton questioned each other’s qualifications to be President.",1.0
"I’m sorry, but it’s against my religion to serve middle-aged, heterosexual couples with matching Shih Tzus, wearing skinny jeans and Uggs, and camo shorts and God-themed T-shirts.",1.0
"Every year, just when I start to think that life is utterly meaningless and the world is going to hell, baseball starts again.",1.0
Election Gazette: Ryan Again Denies He's in the Running for President,1.0
"Today we’re doing Coney Island, the Brooklyn Museum, the Brooklyn Bridge, and Bernie Sanders’s birthplace.",1.0
Four more years!,1.0
"Responding to Mr. Trump, Mr. Cruz and other abortion critics pointed to their own, compassionate approach to women seeking abortions—denying them any choice in the matter whatsoever.",1.0
Talking politics at a family dinner.,1.0
I’m definitely hoping a Ryan or a Romney gets in at the convention—someone who can rally the base around the benefits of income inequality.,1.0
Who knew you were so political? Everyone’s been tweeting about it since Friday.,1.0
Can’t we all just get along?,1.0
The crowd goes crazy when I mention waterboarding. So what about the rack? The rack is terrific. Or that thing where they squeeze you into a tiny cage filled with spikes? That’s also terrific.,1.0
What goes on down there in the name of religion is turning me into an atheist.,1.0
Your phone is ready—drop the case.,1.0
The media’s going to be all over this.,1.0
No way I’m applying to Yale—it’s a total jock school.,1.0
I thought you said you were taking a break from the election.,1.0
Tell them to call back—I’m meeting with my advisers.,1.0
Senate Republicans stated again that they will not consider any nomination made by the former President during the last year of his Presidency.,1.0
Only fifty-six months to go until the 2020 election.,1.0
Ice fishing in the future.,1.0
"Anger Management Therapy, 2 P.M.",1.0
"We run opposition research on ourselves—the more bad stuff that comes out, the better we do.",1.0
"Go ahead—attack the establishment, sire. Why not? Everyone else is doing it.",1.0
"Of course I worry that he could be another Mussolini, but what really keeps me up at night is the thought of him redecorating the White House.",1.0
"I’m sorry, we can’t have that conversation—we recently initiated Trump-free Tuesdays.",1.0
Final thoughts on Downton Abbey.,1.0
Breaking news from the campaign trail.,1.0
Don’t forget—we decided to add penis size to the list of qualifications for President.,1.0
He says he wants America to be great again. She says she wants America to be whole again. What I want is for America to be not insane again.,1.0
"Sources say that in the wake of his impressive string of commanding victories, Mr. Trump will urge Ted Cruz, Marco Rubio, Bernie Sanders, and Hillary Clinton to drop out.",1.0
"Don’t look so glum, people! After all, Justice Thomas spoke this week, and that means that anything can happen.",1.0
"I’m O.K., I’m O.K.—it’s just that, for a moment there, I actually found myself feeling sorry for the leaders of the Republican Party.",1.0
"The two of them up there, announcing Christie’s endorsement—it gives a whole new meaning to the phrase ‘bully pulpit.’ ",1.0
"You’re the one who said, ‘Let them watch the debates, it will be educational.’ ",1.0
Apple’s next generation of encrypted phones.,1.0
I hear if you go political there’s no problem getting a gig on cable television.,1.0
The latest in campaign apparel.,1.0
You know what I think was the problem all along? The exclamation point.,1.0
The wall—an earlier version.,1.0
"Excuse me, sir. Do you have a moment to talk about Kanye’s crushing personal debt?",1.0
"Elections have consequences, but only from now on.",1.0
"It’s O.K., sweetheart—you can agree with Trump about something—it doesn’t mean you’re losing your mind.",1.0
"If one political party or the other doesn’t give in soon, there are going to be only two branches of government.",1.0
I had a dream last night that Planned Parenthood did something new and horrible to a fetus! We need to launch an immediate congressional investigation.,1.0
"Was that you I heard just now, or was it two black holes colliding?",1.0
"They need it to have Cruz’s fiery, faith-based conservatism; Rubio’s youthfulness and personal story; Kasich’s calm, sunny optimism; and Bush’s proven ability to govern. And they need it by Super Tuesday at the latest.",1.0
"Mr. Bloomberg released a statement saying that if the voters are forced to decide between a grumpy scold and an egomaniacal billionaire, they might as well vote for him, being both.",1.0
"He says he can’t keep using lines from his speeches, so he needs us to write him some spontaneous answers.",1.0
"Will he retire? And, by the way, what is the meaning of Omaha?",1.0
"Trump can talk all he wants about torture, but Christie is actually doing it.",1.0
"And, if and when we score a touchdown, make sure you know your assignments for the end-zone celebration.",1.0
Bingo!,1.0
On to New Hampshire.,1.0
The results of the Iowa caucus.,1.0
Spoilers for American Crime Story: The People vs. O. J. Simpson.,1.0
Who cares if he’s not electable? Nobody’s electable anymore.,1.0
Wow—he’s really going after the evangelical vote.,1.0
Fox News just announced that Clint Eastwood will be onstage at tonight’s debate to address an empty podium.,1.0
"If Trump doesn’t do the debate, let’s watch reruns of ‘The Apprentice’ instead.",1.0
The Daily Cartoon shows Donald Trump in Greek mythology.,1.0
"Even if they’re right that last year was the hottest ever, it’s clear now that everything’s gone back to normal.",1.0
"A blizzard’s heading toward the East Coast while, over in Iowa, we’re looking at another week of political shitstorms.",1.0
"I really shouldn’t have stocked the castle with water from Flint, Michigan.",1.0
I’ve been waiting my whole life to be the one wearing this T-shirt.,1.0
"Just this once, turn up the Eagles, man.",1.0
"I’m green-lighting the M.L.K. biopic, but I think we’ll have a better shot at an Oscar if we cast a white guy in the lead.",1.0
"Don’t look at it, no matter what happens!",1.0
Here’s to the best damned antagonist a guy could ask for.,1.0
You take one thirty-year break from acting and it’s like the Academy forgets you exist.,1.0
A State of the Union cartoon.,1.0
"My brain says Hillary, but my heart—and my spleen—say Bernie.",1.0
The stars look very different today.,1.0
"And on top of the other charges, you’re also an accessory to Sean Penn’s crimes against journalism.",1.0
They say the odds of winning are one in two-hundred and ninety-two million—just slightly better than the chance Donald Trump makes America great again.,1.0
"If they didn’t believe the H-bomb, there’s no way they’re going to believe this.",1.0
"Ideally, this reform would go through Congress, but their best idea was including a small note with every gun that reads, ‘Please don’t use for bad stuff.’ ",1.0
I’m running a computer simulation to predict how this Oregon thing is going to end.,1.0
We’re not terrorists; we just want what any true patriot wants: to take down the United States of America.,1.0
2... 2... 2... 2... 2...,1.0
Let’s see how cute you are after a year of listening to Donald Trump.,1.0
I’m you from the future—it turns out nobody cares about our hot takes on the news.,1.0
I’m you from the future—it turns out nobody cares about our hot takes on the news.,1.0
"And, as we look back on 2015, let’s take a moment of silence for those who were schlonged this year.",1.0
"They only had seven maids a-milking, so I also got you this gift card.",1.0
"I’m the Ghost of Christmas Future, but it’s an alternate timeline where the apes take over.",1.0
"In the Daily Cartoon, Santa looks back on 2015.",1.0
"If the Elf on the Shelf doesn’t motivate you to behave, maybe the Krampus in the Korner will.",1.0
"Every day, our daily cartoonists have one goal: to make people laugh about the news. Here’s what they came up with this year.",1.0
Why did we program it to recognize sarcastic compliments?,1.0
You think he’s bad? Wait until you meet Shkreli the Hutt.,1.0
"Sure, they all love you before the movie comes out...",1.0
"Use some personality, Jeb.",1.0
I’m thinking we don’t bring up politics.,1.0
"So, Admiral Ackbar, what do you think of Cruz emerging as a more level-headed alternative to Trump?",1.0
"Forget the whale, I have a new season of ‘Serial’ to obsess over.",1.0
I wrote you a prescription for some pills and a check so you can afford them.,1.0
"Whoa, Donald—you’re scaring me, man.",1.0
Your advisers and I are worried you’ve gone full supervillain.,1.0
The spirit of Christmas has filled me with life! And the spirit of Hanukkah has filled me with socks!,1.0
Batman and Superman visit their therapist.,1.0
"I’m donating ninety-nine per cent of my Facebook shares to charity, as well as all of my likes and most of my comments.",1.0
"Hi, my name is... well, that’s not important.",1.0
"I recognize that climate change is a complex subject with multiple causes, but this really isn’t helping.",1.0
Welcome to America. Here’s your complimentary bulletproof vest.,1.0
Looks like somebody had a productive Black Friday.,1.0
"We’d love to get the platter back when this is over. That, and our land.",1.0
Next we have a favorite among the G.O.P. candidates: the inflated legacy of Ronald Reagan.,1.0
"Just as we feared: Adele, ‘Star Wars,’ and the dance from ‘Hotline Bling’ have converged into a pop-culture singularity.",1.0
"Enough from the hatemongers, the fearmongers, and the warmongers. When are they gonna let the fishmongers speak?",1.0
May the liberal media be ever in your favor.,1.0
We’re laying low until all this xenophobia dies down.,1.0
The Statue of Sophistry.,1.0
Observe as the trolls compete to see who can write the most insensitive comment about Charlie Sheen.,1.0
"Him, I like.",1.0
"In an old house in Paris that is covered with vines, live twelve little girls whose country still shines.",1.0
"Maybe one day we’ll live in a world where the media manufactures a war on Diwali, too.",1.0
"No, not getting Christmasy-enough Christmas cups does not mean you understand discrimination.",1.0
This’ll all be worth it when we get to eat at mediocre chain restaurants for free on Veterans Day.,1.0
