Caption,Rank
I had another one of those walking dreams last night.,2
Can you believe the fairy-dust prices these days?,3
Bob just came directly from work.,1
"We don't have much of a sex life, but he's good at finding keys in the swimming pool.",2
This suit looked way better in the store.,3
That concludes tonight's performance of 'Pimp My Ride of the Valkyries.',1
"This season, we welcome a new corporate sponsor.",2
Sorry I'm late.,3
"Shut up, Bob, everyone knows your parrot's a clip-on.",1
We have to find a better way to record our meetings.,2
"Well, it's not my fault booty revenues are down this quarter.",3
Dibs on the briefcase.,1
Uh-oh. That last village must have been incorporated.,2
There goes the neighborhood.,3
"And in this section it appears that you have not only alienated voters but actually infected them, too.",1
"The inland tortellini are still with you, sir, but you're losing support with the coastal risottos.",2
"Stay with me, sir. It's almost recess.",3
"Instead of an expensive, invasive procedure, we've decided to beat it out of you.",1
Good news! We have a solid lead on who stole your liver.,2
That rash will need constant monitoring.,3
"If I'm not back at the maze by eight, my wife reels in the damn string.",1
"If they ask for Ted's Stud Service, I'll take it.",2
Don't tell me it's halftime already.,3
It's not just Henderson. Corporate laid off the entire bunny division.,1
"Well, there he goes, the first casualty of the War on Easter.",2
"Well, at least somebody remembered about casual Good Friday.",3
"So, then, I guess the Johnsons are feeding our clothes.",1
I never know what to pack.,2
I just thought of something. What if your parents don't collect dead goldfish anymore?,3
I bet the bride of Frankenstein gets to cuddle.,1
And where do you think you're going with those curtains?,2
I guess this rules out a church wedding.,3
"To be fair, Martha, you started it.",1
"Oh, he probably just smells your python.",2
You see what happens when you carry rats in your purse?,3
No one expects an immaculate conception until it happens to him.,1
The ultrasound says it's a keg of Bud Light.,2
She told me she had protection.,3
"Are you now, or have you ever been?",1
The committee will ask you one final time: do you come in a 42?,2
He won't get far.,3
That's the last time we brag about our kids.,1
"At the end of the day, I guess I'm just really more of a cat person.",2
"Sure, she's cute, but she'll never have a dancer's body.",3
They give me free drinks if I keep my tray table down.,1
I'm sure I've got a business card on me somewhere.,2
I only bring clothes that I definitely need.,3
"Well, that was abominable.",1
I just wish we could talk about something other than global warming.,2
I think the Manhattan skyline is getting suspicious.,3
"Finally, a faith-based initiative I can embrace.",1
Just don't order a Bloody Mary.,2
"Hey! Who ya gotta pray to, to get a drink around here?",3
Cancel my twelve-oh-one.,1
"I can't talk, I'm expecting a call from the governor... wait, I could save how much?",2
"Yes, Mother, I know I should have started my appeal earlier.",3
How many surprise witnesses do you have in that little car?,1
Ooh ... I'm going to allow this!,2
"I don't know about you, counsellor, but I kind of wish there were more murders at the circus.",3
"It's not good, looks like they've got a full interpretive-dance troupe.",1
"OK, send him in. But this goes against the Geneva conventions.",2
Not a good day for a street fair.,3
"Back in my day, kids had a little respect for the law of gravity.",1
"Unfortunately, at this age they don't carry much pocket change.",2
I told you those humane traps never really work.,3
"First, I'd like to thank the podium.",1
Do I hear a motion for less disclosure?,2
"If all goes well, we'll get them back after the audit.",3
How soon can you start?,1
Our conflict-resolution seminar ended a bit early today.,2
"Just remember to keep away from Fletcher's wife, and Davidson's daughter, and Harris's iPod.",3
"OK, this time with a little less feeling.",1
"Gosh, Wendy, that was more like 'The Flight of the Whole Hive.'",2
"Yes, dear, I'm sure your grandmother can hear you in Heaven.",3
Stop me if you've heard this one.,1
I thought I told you to stop sending me jokes at work.,2
It's gonna be one of those long nights of playing devil's advocate.,3
But what if you fall when no one is around?,1
"I'd divorce you, but we need the firewood.",2
"How's your new boss at the CIA, dear?",3
Can you please identify which hand was mistakenly amputated?,1
When did you first encounter my client's balloon?,2
"Your Honor, may I have permission not to approach the witness?",3
"Mind the whale, dear.",1
"They're very intelligent, dear. Try reasoning with him.",2
"Sure, they're cute when they're little.",3
"Two thousand eyes, but it still takes you all day to read the morning paper.",1
Would your mother find chilled larvae in a light honey glaze too waspy?,2
"Well, it's another thrilling night at the Samsas'.",3
"And, best of all, it's completely waterproof!",1
Maybe this thing isn't a compass.,2
Thank God for TiVo.,3
Wait. Would we still be doing this if the sky weren't falling?,1
Quack means quack!,2
So this is why you crossed the road.,3
"Damn it, I'm a brain surgeon, not a rocket scientist!",1
It's the worst case of projectile dysfunction I've ever seen.,2
We thought it would look better with big breasts.,3
There may be some lingering resentment.,1
"It's painful, but I couldn't stand another chorus of 'Take Me to the River.'",2
Watch out for the moose head in the parlor.,3
"Sooner or later, you're going to have to learn your way to the bathroom yourself.",1
We never get out anymore.,2
Try counting rats.,3
The hours here are obscene.,1
Let me call you back in an umlaut.,2
"Oh, sorry. I forgot about the time difference.",3
"Aye, and he replaced walking the plank with time out.",1
"I'd mutiny, but I'm having such a nice day.",2
"No, we don't get much booty, but we meet a lot of nice people.",3
Take three thousand Tylenol and call me in the morning.,1
"Really, God, you worry too much.",2
"I don't know why you're so jolly, your cholesterol is through the roof.",3
"OK, let's wrap up and call it a day. I feel like we're losing our focus.",1
This new MBA crop is so hard to break.,2
Just five more seconds and you'll break the record set by Tex and Dolly Rosenberg in Accounting.,3
"We have company, Henry. Use the good china.",1
"He has his life, and I have mine.",2
Can you tell it's a knockoff?,3
"Two? Close enough, give 'em hell!",1
"OK, good.  Now, who's the Deputy Secretary of Agriculture?",2
You've made me regret my purchase.,3
"Jenkins, if I want another yes-man I'll build one.",1
"They're programmed to be idiots, Higgins. What's your excuse?",2
"You're voting with your pacemaker again, Hargrove!",3
"Wait, this is yesterday's.",1
There's something about holding a rock in your hands that newspapers can't replace.,2
"Same old, same old.",3
Don't laugh.  He's made partner.,1
"There's no good way to tell you this, Carson, your job has been dogsourced.",2
"He's a stray, but I'm thinking of keeping him.",3
It was a big seller until we had to recall the cherries.,1
"By golly, Detroit is back!",2
Would you believe a kid came up with this?,3
It's not just that he walks upright and uses complex tools.  He also makes me laugh.,1
The fire went out.,2
I want to meet different kinds of Man.,3
They do say results will vary.,1
"I thought it sounded reputable.  He's also a member, for crying out loud!",2
That actor looks exactly like you!,3
This is the most advanced case of Surrealism I've seen.,1
Let's just keep an eye on it for a while.,2
The good news is all the pieces fit.,3
And make mine a decaf.,1
The board just voted to remove the net.,2
I'll take a cab.,3
"Carol, let's go ahead and keep the job posted for a little while longer.",1
"No, it's more of a gnawing ...",2
"Mom, tell Kevin to quit biting.",3
"Of course, the current tenant will be gone before the first of the month.",1
"OK Second word, four syllables.",2
I thought Ferguson hated quicksand.,3
Hmm. What rhymes with layoffs?,1
Some of you may be aware that I have been taking piano lessons.,2
And all because of the account that got awa-a-a-a-a-a-a-a-a-a-ay ...,3
"It better work, they sold it to us.",1
"If this doesn't work, push that boulder and run like hell.",2
Our medicine man went to MIT.,3
"Son, one day all this will be yours.  Except her.",1
"Son, we finally attracted the fifty-foot-and-over demographic!",2
"You know, I couldn't have done it without your mother.",3
How about we just stay in tonight?,1
My mother is coming to stay next week.,2
Ever think about kids?,3
The elevator takes some getting used to.,1
Looks like another side-rise is springing up.,2
I think I liked them the other way.,3
It looks like someone's going to have the complete set!,1
"Look, honey, it's the new Tickle Me Maniac.",2
I thought Grampy Willis would enjoy being exhumed for the holidays.,3
"Actually, it was more of a lateral move than a promotion.",1
"OK, I've backed everything up.  Now what?",2
"Two for the price of one? Yes, I may very well be interested.",3
"Listen, Satan, can I call you back?",1
I gotta go.  'Mr. Wonderful' is having one of his episodes.,2
It's like paradise for the first few days.  But you wouldn't want to live here.,3
"You know how it is, first you buy the giant-screen television, then nothing else seems to match.",1
"It's down the hall, but don't fall in.",2
Would anyone like 1/68th of a piece of toast?,3
So sue me.,1
So you're telling me I'm washing my hands for nothing?,2
"Oh, yeah, like you had so-o-o much to live for.",3
"Oh, no! My best friend and my best friend's wife!",1
Interested in a threesome? I'll just sit on the floor and sort tax receipts.,2
How long has this been going on?,3
"I support our troops as much as the next guy, but do we have to let them play through?",1
"If we truly believe in golf, I don't think we have much of a choice.",2
"Tom, I think you should stop shouting 'Bombs away!' every time you drive the ball.",3
"Next time, just knock.",1
"Good morning, sir, do you have time to answer just a few short questions for our survey?",2
"OK, now it's your turn to hide.",3
You don't scare me. I come from a long line of salesmen.,1
I'd like to talk to you about a unique opportunity.,2
Are you sure Mr. Coyote left no forwarding address?  This is going to be quite a blow to our sales team.,3
"How many times do I have to tell you, don't call me at work!",1
"I keep telling him, 'For God's sake, put down the whip, she has a learning disability.'",2
"Yeah, I know.  But who changes careers at my age?",3
Remember back when the worst thing you could catch around here was athlete's foot?,1
Don't ask me.  I don't know what to do.,2
"Oh, the rhymes I could tell you.",3
"Yeah, yeah, and I invented the ticket.",1
"I'm going to let you off with a warning, since you have no prior history.",2
Mind if I look in the hole?,3
"If he's so damn intelligent, let him get a job.",1
"Come on, George. You know he's only going to spend it on more oxygen.",2
"Give him money, and you feed him today; teach him how to earn money by somersaulting on cue, and you feed him for life.",3
"Perkins here, representing taxes.",1
"Marketing sent me.  I'm the new, fresh face of death.",2
"Well, I thought it was funny.",3
So you can take it with you!,1
I guess membership does have its privileges.,2
"Nobody brings what we really need, colorful, stylish clothes.",3
"You know, I'm gonna miss this when we go paperless.",1
Auditing Siegfried and Roy has not been easy.,2
"Remember, Paul, when we were interns?&#13;
",3
"Fine. If it's a boy, we'll call him Boy. But if it's a girl I want to call her McKenzie.",1
I guess I always assumed we'd raise Dylan in the city.,2
"Well, you'll be a monkey's uncle.",3
"Go fetch your mallet, Wilkins, we'll play doubles.",1
I'm having my tech guys set them to music.,2
The negotiator for their union was very timid.,3
"When you're finished here, Spencer, we'll need you on the bridge-to-nowhere project.",1
Let me know when the paint is dry.,2
"Comrade Zinkov, I would prefer that you spy looking through windows and listening through walls.",3
I'd like to get your arrow count down.,1
Have you tried sleeping on your side?,2
"On the plus side, it's a terrific example of Native American craftsmanship.",3
Don't tell Noah about the vasectomy.,1
I told you it was a couples cruise.,2
I think we should see other people.,3
"Excuse me, does this joke need a lawyer?",1
"I know this may not be a good time, but the rioters are burning down the cathedral!",2
"Fellas, your empathy for victims is outstanding.",3
He's his own best friend.,1
"In order to truly master the art of fetch, you must understand every element of the process.",2
He identifies with the oppressor.,3
It's a thongbird.,1
The Speedo would suggest that he's not native to Vermont.,2
"Honey, do you have any dollar bills?",3
"Except here it's always good cop, good cop.",1
"I don't mind cops, but you'd think God would have let in at least one exhaust specialist.",2
They have a really hard time meeting their quota.,3
I told you this house was too close to the moon.,1
It's time that child went on a diet.,2
"Cowabunga, dear.",3
Have you considered writing this story in the third monkey rather than the first monkey?,1
We'll have to run it by our infinite number of editors.,2
"Sorry, guys. It's another rejection letter.",3
"You want to impress me? Drive to the store and get me more beer.&#13;
",1
"Don't worry, they'll never actually build it.&#13;
",2
"Trust me, my lessons have way more real-world applications.",3
He's always thinking outside the rock.,1
He needed a place to park his wheel.,2
"Yeah, but the weirdest thing was, once he built it I suddenly felt compelled to give him a list of things to do around it.",3
I hate connecting through Roswell.,1
"I don't care if he's single-celled, he should have bought two seats.",2
This guy's wife lets him drink on the plane!,3
"I hear he's got one-hundred-per-cent coverage, parts and labor.",1
Dibs on his left hip!,2
I wish I had those knees.,3
"On second thought, it's more of a sandals day.",1
"Forgot my underwear, shirt, suit, belt, tie, and watch.",2
"If I don't wake up soon, I'll have some explaining to do tomorrow.",3
We're gonna need a bigger spear.,1
So this is what killed the dinosaurs.,2
What did you say happened to the last tenant?,3
"Oh, now you want to talk, when all week it was 'Do Not Disturb.'",1
I can fluff your pillow the easy way or the hard way.,2
The time is 11:59.  You have one minute to check out.,3
He's the lifeguard during high tide.,1
The regular lifeguard isn't seeing anybody today.,2
God needed a part-time job.,3
Ever have the feeling you forgot to turn something off?,1
"Trust me, background radiation, it's the new secondhand smoke.",2
"The way I see it, I'm the miner and you're the canary.",3
On what planet do you imagine this would be funny?,1
It would work better with an alien.,2
It's just not funny if she looks so sexy.,3
My wife will be here any moment. She's loading herself into the cannon as we speak.,1
Welcome to the greatest living room on Earth!,2
The people who lived here before had lions.,3
I always figured Hell would be less ironic.,1
Why did you think angels had wings?,2
It's not the tedium. It's the uncertainty.,3
"If he wakes up, you can give him a Martini.",1
Make sure you burp him after his 11 AM conference call.,2
He sleeps through the night as long as the market's stable.,3
"If I start to drink too much, just pull off my lips.",1
My wife left me for Mr. Peanut.,2
I should have stopped after the Botox.,3
"Yeah, that one's funny, too. Next.",1
I'm just glad we don't make lingerie.,2
"This part of the job is easy, it's the whoopee-cushion testing that annoys me.",3
"If the jury needs another day, they're using paper plates tomorrow.",1
"Yeah, well, it got me through college and law school, and it'll get me through here, too.",2
I wish they'd let us wear short-sleeved robes.,3
You should be happy. How many husbands even notice window treatments?,1
Have you thought about mauve?,2
You should see him on Valentine's Day.,3
"I don't know about you, but I'd be willing to pitch in for a  new contact lens.",1
"If we had just started wandering fifteen minutes earlier, we would have missed most of this traffic.",2
What disease are you crawling for?,3
I liked it better when we just had your people call my people.,1
Next week I pick the fantasy.,2
So this is what it's like to be a Nielsen family.,3
"Pardon me, can you draw clothes?",1
"Excuse me, which way is Marcel Duchamp's urinal?",2
"Please, a sandwich, a piece of fruit, anything.",3
I put some beer on the hook. I figure if that's what got him into this mess it should be able to get him out.,1
"Ice fishing and skydiving, who says they don't go together?",2
He's got a new fish-whispering technique.,3
"I'll walk, you shovel.",1
"Well, what did you think a labrapotamus was?",2
"Don't look at me that way, I wanted a giant cat.",3
I wanted you to meet our colon specialist before we miniaturized him.,1
"Actually, the preferred term is 'adventure surgery.'",2
"Well, you are sixty per cent water.",3
It's all the witness-protection program would offer him.,1
It's mostly water weight.,2
He has a summer job as a scarecrow.,3
And tomorrow there's a twenty-per-cent chance of anvils.,1
Every time I wash the car.,2
"Great. Safes everywhere, and I'm on probation.",3
We're all out of the blood of your enemies.  You'll have to settle for marmalade.,1
"If you didn't want crusts, you should have said so.",2
"How many cubicles will you conquer today, hon?",3
So you're the guy who discovered friendly fire.,1
So how much of the story is autobiographical?,2
I almost wore the same spear.,3
Next time can we just get flu shots like everyone else?,1
Don't sexual fantasies usually involve sex at some point?,2
"Not tonight, dear. I have acute radiation poisoning.",3
"It's great to see you, but we can only stay about fifteen seconds.",1
"You said BYOB, right?",2
Sorry we're late. Clearing customs was a nightmare.,3
"Let me guess, the lab results aren't good.",1
Could you order me a BLT on whole wheat with a side of carrion?,2
"Janice, hold all my calls. Indefinitely.",3
And when did you first come to believe that your conversations were being recorded?,1
"Yes, I understand. Many of my patients have difficulty talking about sex.",2
Great! Next week we'll work on your fear of Morse code.,3
"Get naked, jump in, and make this marriage work!",1
And if you'll agree to drop the divorce proceedings and reconcile I'll throw in a pair of lobsters.,2
We call it shark-tank therapy.,3
I still have room for a second opinion.,1
If he wasn't an internist he is now.,2
Tasted kind of mediciney.,3
Indian casino. I'd say Comanche.,1
Forget Oregon. I'm going to Vegas.,2
There's red carpets in them thar hills!,3
It just looked so uncool to wear a seat belt in the Batmobile.,1
I'm allergic to down.,2
I only got halfway through my deathbed conversion.,3
"When you don't want one, they're everywhere.",1
Why can't he take a limo like the rest of us?,2
"I'll concede I'm drunk, but you could have just taken my keys from me.",3
"Hey, you teach CPR your way, and I'll teach it mine.",1
I couldn't find a real naked woman to ride with me in the HOV lane.,2
She's my Seeing Eye doll.,3
I'm haunted by the faces of my victims.,1
You think this is bad? I used to be a proctologist.,2
"Just once, I'd like it to be fish and chips.",3
OK I'm at the window. To the right? Your right or my right?,1
Better make that a large pizza.,2
It appears that even the window washers are using steroids.,3
"I'm sorry, this is Tic-Tac-Toe, applications for Hangman are down the hall.",1
"Besides being a stick, what is your greatest weakness?",2
"It was a rough divorce, but she didn't get the Happy Face.",3
"Objection, Your Honor! Alleged killer whale.",1
My client maintains that the penguin had a gun!,2
I demand a change of venue to a maritime court!,3
"By the way, we are not allowed to show the face or image of No. 6.",1
It's always a problem for us when a crime is committed on Halloween.,2
Will No. 3 please step forward and achieve satori.,3
"Apparently, American now charges extra for landings.",1
Are you sure you're ovulating now?,2
Can I borrow your Cessna?,3
Just come to bed and kill yourself in the morning.,1
"Bullets don't grow on trees, Harry.",2
I told you to hire a professional!,3
Let's continue this discussion over a hot barrel of coffee.,1
"But I have to warn you, carpal tunnel here is a bitch.",2
'How many accountants does it take to sharpen a pencil?' you ask? In this case five.,3
"Honey, I told you the whole world is headed to the Cape this weekend.",1
"Oh, great, we're stuck behind a four-and-a-half-billion-year-old.",2
Why do I always get stuck behind the slow planets?,3
"I know you have the law and the facts on your side, but I'm going with the dancing girls on this one.",1
"Overruled, counsellor. This is sweeps week.",2
The jury foreman will now sing the verdict.,3
The first rule of s'mores club is you do not talk about s'mores club.,1
"Next, Jenkins, I expect a ghost story. On my desk at 3 PM sharp.",2
I think we got some really good ideas from bring-your-child-to-work day.,3
And my hourly fee is six hundred dollars. You're not in Kansas anymore.,1
"Home, is there really no place like it? Who'd like to start?",2
"If you adopt her, please understand that she comes with a lot of baggage.",3
"Actually, I'm not crazy about long walks  on the beach.",1
"I'm looking forward to casual Friday, when I can put on some flats.",2
I'm working my way up to a sex-change operation.,3
Five hundred billion galaxies and nothing's on.,1
See? Foreclosure's not all bad.,2
Can I offer anyone a little more oxygen?,3
"You got that? Three bottled waters, two sodas, one coffee, and six straws.",1
Run! The kid with the little red shovel is coming back!,2
We save a bundle on suntan lotion.,3
"By a 9-0 vote, the rest-room expansion project is approved.",1
Can you please pass the cow?,2
Let me start by welcoming you all to Narcoleptics Anonymous.,3
The seller is extremely motivated.,1
The heating system is pretty old but very reliable.,2
I strongly recommend that you read the fine print on this one.,3
So why did you leave Red Lobster?,1
So you think you're ready for the corner tank?,2
"I guess we have a deal, but we don't have to shake on it.",3
"Don't look now, but I believe your snake is strangling that dog.",1
Let's just say it attracts a more interesting type of woman.,2
"Relax, she prefers dachshunds.",3
"And, if you elect me, all Americans will be able to choose soup and salad!",1
What's your stance on first-date sex? You have two minutes to respond.,2
The ratatouille is good today. I am the owner and I approve this message.,3
"Come sweater season, you'll be back.",1
Could you bring me back a goat?,2
You're the one who left your fertility drugs on the counter.,3
Looks like another ye olde stimulus package.,1
"After seven hundred billion for the nobles, it was the least we could do.",2
Things haven't been the same since we began electing our kings.,3
"No, no, you're the archeologist this time!",1
This should keep Emily from running to our bed every time she has a bad dream.,2
It feels good to get out of the museum for a night.,3
"Read my lips, no new taxidermy.",1
"As a weasel, I need your vote.",2
"OK, who pooped on the lectern?",3
Please try not to stare at his disproportionately short right arm.,1
"Apparently, even the Fantastic Four can feel the pinch of the recession.",2
The first course has been described as a taste explosion.,3
What makes you think I wouldn't be up for sushi?,1
"Remember the Alamo, now, that was a foreclosure!",2
"I can't say for sure, but I think the airline mixed up my luggage.",3
I miss the cash bonuses.,1
I am useless until I have my morning turkey.,2
I was actually hoping for a boy.,3
I'd suggest you keep them away from the gingerbread men.,1
It's not disturbing until someone wants to buy them by the ounce.,2
I did the choreography myself.,3
Guess who's getting voted off the island.,1
We really need to revisit our immigration policy.,2
"Ah, the innocence of youth.",3
"At the next bailout, let's also ask for a pony.",1
Who would have thought they'd actually give money to a bank!,2
Did you send your thank-you card to Congress?,3
I want to live at my dad's.,1
"No, thanks, I only eat them on reality shows.",2
Am I in your dream or are you in mine?,3
"In this economy, you have to let the vacation come to you.",1
He has recreational ADD.,2
He's pretty much up for anything.,3
"For a divorce case, that went smoothly.",1
"Sorry about that, new gavel.",2
This is what I get for convicting the janitor.,3
It's sloppy work like that that gives the mob a bad name.,1
We are trying to reduce our concrete footprint.,2
"Two weeks ago, this was not considered torture.",3
Most men drink to escape. I escape to drink.,1
"If anybody calls, I'm not here.",2
I'd kill for some peanuts.,3
"Until I recover, let's just assume your prostate is fine.",1
"So a doctor walks into a bar, this is not a joke, by the way.",2
"Sorry, we're out of medical supplies.",3
Here's to Little Miss 'Don't You Touch My Hat.',1
I didn't expect to gain weight on this cruise.,2
She should have told us the fruit was real.,3
Tell me you kept the box and receipt.,1
"Typical client, wants a damn Parthenon on a Stonehenge budget.",2
"Dude, Athena's gonna be pissed.",3
"Yes, Officer, they say he was about six feet four, with pointy ears and abnormally short arms.",1
"I wasn't laid off, I just decided to pursue other interests.",2
"Hello, YouTube? I've got something you might be interested in.",3
"Well, at least he made curfew.",1
We should tell the GPS people that they changed the off-ramp.,2
I thought our sex life was a train wreck.,3
"Beat it, buddy. We're out of chalk.",1
So what makes you think we need a health inspector?,2
Seven men walked into a bar and died. What's it to ya?,3
You're in trouble when we get to the bicycles.,1
Hi there! Can I interest you in some promotional material about intelligent design?,2
"Now that I've met your family, I want you to meet mine.",3
"And Commandments Eleven to Twenty are the same as One to Ten, just with tofu instead of meat.",1
Read quickly. These are really heavy.,2
"And for you goats, thou shalt not marry a dragon or an ox.",3
"Trust me, you don't want this. It's filled with mortgage-backed securities.",1
Haven't you got some white-collar criminals to attend to?,2
That skirt is so last year.,3
This song goes out to the one that got away.,1
Any requests before I tell you about tonight's specials?,2
And every year they return to my piano to spawn and die.,3
Gesundheit.,1
Most people are reassured after three or four.,2
"Congratulations, it's a porcupine.",3
I think the head's in the wrong place.,1
"If we just ignore it, maybe it'll go away.",2
The statue of the lemmings was just too depressing.,3
"I'm just curious, what's your excuse?",1
"Just to confirm, I get seventy-two lemmings, right?",2
Table for eleven? Right this way.,3
Both the movie and I will be released this summer.,1
It's my first time on 'Celebrity Parole Hearing.',2
This is fancy role-playing for a conjugal visit.,3
Free will is overrated.,1
This is why I suggested a threesome.,2
This was so much more awkward before Craigslist.,3
"First, we discuss my percentage of any water you find, real or imagined.",1
"Just so we're straight, this is a billable mirage.",2
"Impressive audition, but we're going with the camel.",3
Which part of 'till death do us part' didn't you understand?,1
I guess it really did kill you to call.,2
Don't give me that holier-than-thou attitude!,3
"OK, let's slowly lower in the grant money.",1
"The research is conclusive, mice are even cuter when you dress them up in little coats.",2
"Relax, for them it's publish and perish.",3
"She's a lover, not a fighter.",1
She thinks her bomb bay makes her look fat.,2
"It's a pretty good aircraft, except that it keeps nagging you to ask for directions.&#13;
",3
"That's smart, Eddie. The first place cops look is in the trunk.",1
"The instructions should have mentioned that you need a body of water.&#13;
",2
What do you mean you don't remember? Either he sleeps with the fishes or he don't.,3
"Go ahead, waterboard me.",1
"Well, the menu did say 'Choose your own lobster.'",2
You think Alcatraz can hold me?,3
"Sir, the competition is here to discuss the merger.",1
"Oh, yeah, we go way back.",2
He says he is known by many names.,3
"Let's meet in my office, weather permitting.",1
They said the complaint box was anonymous.,2
Maybe we should do the firings in the basement?,3
This isn't what I had in mind when we agreed to separate vacations.,1
"If this isn't Hawaii, would you mind giving me a shove back out to sea?",2
How's my pallor coming along?,3
First time at Euro Disney?,1
"Lily pad... lily plant... Damn, I've forgotten my safe word!",2
We discovered the Internet since you were here last.,3
"Now, I know some of you might be thinking, Is this a trap?",1
This is Stan. He works in the lab.,2
The last of our Swiss bank account.,3
"Geez, it's twenty-five to life already.",1
"Well, I really must be staying.",2
"I'd love to come, but you know the old ball and chain.",3
You're just like your mother.,1
So this is how the other half lives.,2
You look ridiculous.,3
"If it stays that way longer than four hours, you should call your doctor.",1
Another nasty hokeypokey injury!,2
"Don't worry, it gets easier.",3
American car companies just can't make a decent hybrid.,1
This would work out a lot better if we had kids.,2
"You know, everyone laughed at Noah, too.",3
"Don't worry, he's covered by Aflac.",1
"Thank God, Fashion Week is over.",2
We all deal with divorce in our own way.,3
"Brother, can you spare a lime?",1
Help the yardless?,2
Margaritaville or bust.,3
One of us is in the wrong movie.,1
Got anything besides Tang?,2
You border patrol are good.,3
What do you mean time's up?  I just put another quarter in.,1
I think this can all be traced back to my mother ship.,2
Can we do therapy for just five more minutes?  Please?  Please?,3
They ignored your first ten. What makes you think you'll do any better with these?,1
Dear ... diary ... She's ... finally ... asleep.... Oops.,2
It needs a feisty female detective.,3
I'm afraid we need to make more cuts.,1
Please use a coaster.,2
I'm sorry I couldn't get more for you in the divorce settlement.,3
"And, in this corner, also hailing from Chernobyl...",1
Very funny.  Now give me the microphone.,2
"But, first, a word on foot odor.",3
I'm your fairy god plumber.,1
I'm here to grant your wife's wish that you would fix the toilet.,2
"In this economy, it's good to have an extra trade.",3
"Don't worry, I ate lunch more than an hour ago.",1
My wife won't let me put one in the back yard.,2
"Make yourself useful, fake some Russian and hold up a 9.9.",3
"So you're the infamous Sudsy Malone.&#13;
",1
Couldn't you just have had a last-meal request like everyone else?,2
It says Martha Stewart once lived here.,3
"Well, where did you think baby grands came from?",1
I don't play. I just really hate elephants.,2
We buy everything in bulk.,3
Avoid direct sunlight.,1
"Yes, Mr. Rabbit also needs to quit drinking.",2
"So, for the record, are you a duck or a rabbit?",3
Let Table Seven know that there will be a slight delay on the risotto.,1
There's always room for cello.,2
This is why I don't need cable TV.,3
And what does she have that I don't?,1
I don't want to hear again about the one that got away.,2
I feel like seafood tonight.,3
I liked my old spin class better.,1
